S.NO,Movie,Year,Language,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,PosterURL
1893,Dee Saturday Night,2014,Hindi,,,"Dee Saturday Night(transl.Luck on Saturday night) is a 2014 IndianHindi-language film directed by Jay Prakash.[1][2]The film was released on 21 February 2014. It starsPrashant Narayanan,Arif Zakaria,Aman Verma, Amit Dimri, Vivek Rajput, Mahi Khanduri, Gaurav Dixit,Mushtaq Khan,Vishwajeet Pradhan, Nazneen Patel.[3][4]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Dee-saturday-night-01.jpg/250px-Dee-saturday-night-01.jpg
1894,Gulabi Gang,2014,Hindi,,,,,,,
1895,Highway,2014,Hindi,,,,,,,
1896,Karar: The Deal,2014,Hindi,,,,,,,
1897,Pyar Ka Live Show,2014,Hindi,,,Pyar Ka Live Show(transl.Love's live show) is a 2014 Indian Hindi-languageromance filmdirected by Shailendra Singh Rajput and produced by Vinod Singh under the M. Film's Creations banner. The film was released on 21 February 2014.[1],,,,
1898,Shaadi Ke Side Effects,2014,Hindi,,,,,,,
1899,Queen,2014,Hindi,,,"Queenis a 2014 IndianHindi-languagecomedy-drama filmdirected byVikas Bahland produced byAnurag Kashyap,Vikramaditya Motwane, andMadhu Mantena. The film starsKangana Ranautin the lead role, withLisa HaydonandRajkummar Raoplaying supporting roles.[4]The film follows the story of Rani Mehra, a diffidentPunjabigirl from New Delhi who embarks on her honeymoon to Paris and Amsterdam by herself after her fiancé calls off their wedding.[5][6]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/QueenMoviePoster7thMarch.jpg/250px-QueenMoviePoster7thMarch.jpg
1900,Total Siyapaa,2014,Hindi,,,"Total Siyapaa[a](Total Chaos) is a 2014Bollywoodromantic comedy filmdirected byEeshwar Nivasand written byNeeraj Pandey.[5]The screenplay is based on that of the Spanish-Argentine filmOnly Human, written and directed by Dominic Harari and Teresa Pelegri. The main characters in the original film are Israeli and Palestinian, whilst inTotal Siyapaa, they are Indian and Pakistani.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Total_Siyappa_2014_Indian_film_poster.jpg/250px-Total_Siyappa_2014_Indian_film_poster.jpg
1901,Neighbours,2014,Hindi,,,"Neighboursis a 2014 IndianHindi-languagesupernatural horror filmdirected byShyam Ramsayand a remake of the 1985 American filmFright Night.[1]The cast includes Arbaaz Ali Khan, Roushika Reikhi,Shakti Kapoor,Gavie Chahaland Rufy Khan. The film was released on 14 March 2014.Neighbourswas the first vampire film by the director,[2]and the first Ramsay film to be set in a city,[3]Mumbai,[4]but Neighbours did not have a big theatrical release.[5]Ramsay stated to the media: “My new film Neighbours is about a seemingly normal neighbour who turns out to be a vampire. We’ve cast a super-model Roushika Reikhi as a sexy vampire.”[6]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Neighbours_theatrical_poster%2C_14_March_2014.jpg/250px-Neighbours_theatrical_poster%2C_14_March_2014.jpg
1902,W,2014,Hindi,,,"Wis a 2014 IndianHindi-languagemusicalthriller filmaboutsexual violence against women in India. The film is directed by Tarun Madan Chopra, based on a script written byDaboo Sardar Malikand Tarun Madan Chopra. The movie starredLeeza Mangaldas,Leslie Tripathy,Sonal Giani, Raaj Singh Arora, Abhey Jit Attri and Danish Pandor. It had a limited release in theatres.[1]",,,,https://upload.wikimedia.org/wikipedia/en/e/e0/WFilmPoster2014.jpg
